Frequency,Non vocalized Syriac,Vocalized Syriac,SedraID,absolute_frequency,Grammatical Category,long_definition,English,category
21,ܒܪܐ,ܒܪܳܐ,467,127899.36,NounAdj,"ܒܪܳܐ (pl. ܒܢܰܝ̈ܳܐ), f. ܒܰܪܬܳܐ (pl. ܒܢ̈ܳܬܳܐ) son, daughter. Many phrases with ܒܰܪ, ܒܰܪܬ, ܒܢ̈ܰܝ, ܒܢ̈ܳܬ expressing relationship, belonging; e.g.: ܒܰܪ ܐܶܓܳܪܳܐ lunatic; ܒܰܪ ܐܺܝܬܽܘܬܳܐ consubstantial; ܒܰܪ ܐܢܳܫܳܐ, ܒܰܪܢܳܫܳܐ person, human being; ܒܰܪ ܐܰܬܪܳܐ compatriot, indigenous; ܒܰܪ ܒܰܝܬܳܐ bond slave, born in the house; human being, kindred; ܒܰܪ ܒܶܣܬܪܳܐܺܝܬ backwards; ܒܰܪ ܒܶܣܬܪܳܝܳܐ reverse; ܒܰܪ ܓܰܒܳܐ adherent (of a party, sect); ܒܰܪ ܓܶܢܣܳܐ kindred; ܒܰܪ ܙܰܘܓܳܐ husband; close companion; ܒܰܪܬ ܙܰܘܓܳܐ wife; ܒܰܪ ܚܺܐܪ̈ܶܐ noble, freeborn; ܒܰܪ ܟܝܳܢܳܐ consubstantial, of the same nature; ܒܰܪ ܠܘܺܝܬܳܐ travelling companion; ܒܰܪ ܡܕܺܝܢ̱ܬܳܐ citizen; ܒܰܪ ܡܶܠܟܳܐ counselor; ܒܰܪ ܥܳܠܡܳܐ layman; ܒܰܪ ܥܶܢܝܳܢܳܐ familiar friend; ܒܰܪ ܦܶܚܡܳܐ similar, Kth. colleague; ܒܰܪ ܩܝܳܡܳܐ / ܒܰܪ̱ܬ ܩܝܳܡܳܐ someone who has taken ascetic vows; Kth. f. wife of a priest; ܒܰܪ ܫܡܳܐ having the same name, namesake; ܒܰܪ ܫܳܥܬܳܐ, ܒܰܪ ܫܳܥܬܶܗ immediately.",son,Family
22,ܥܡ,ܥܰܡ,2336,127080.8,Prep,"ܥܰܡ with, at, on; besides; along.",with; besides,
23,ܓܝܪ,ܓܶܝܪ,560,117913,Particle,"ܓܶܝܪ for, indeed.","for, indeed",
24,ܚܕ,ܚܰܕ,950,113973.75,number,"ܚܰܕ one; a certain; each; one…the other; ܚܰܕ ܠܚܰܕ one another; ܚܰܕ ܒܫܰܒܥܳܐ seven times, sevenfold; ܚܰܕ ܟܡܳܐ how much more; ܒܰܚܕܳܐ at once, directly; ܡܶܢ ܚܕܳܐ, ܡܶܚܕܳܐ suddenly.",one; one…the other,
25,ܐܢ,ܐܶܢ,176,109876,Particle,ܐܶܢ if.,if,
26,ܐܢܫܐ,ܐ̱ܢܳܫܳܐ,5645,101329,NounAdj,"ܐ̱ܢܳܫܳܐ person, human being; relations; people. ܐ̱ܢܳܫ someone, a certain; ܒܰܪ ܐ̱ܢܳܫ̈ܳܐ, pl. ܒ̈ܢܰܝ ܐ̱ܢܳܫ̈ܳܐ a person, human being; ܟܽܠ ܐ̱ܢܳܫ everyone.",person; people,People
27,ܐܠܐ,ܐܶܠܳܐ,127,101288.05,Particle,"ܐܶܠܳܐ if not, unless; except, but.",if not; except,
28,ܠܘܬ,ܠܘܳܬ,1658,96050,Prep,"ܠܘܳܬ to, towards, with, near; with respect to.",towards; with respect to,
29,ܚܙܐ,ܚܙܳܐ,996,93902,Verb,"ܚܙܳܐ fut. ܢܶܚܙܶܐ, Ia to see, perceive; Ip; to be seen, be visible, to appear.","to see, perceive ",Senses
30,ܐܘ,ܐܰܘ,39,90286.44,Particle,ܐܰܘ or.,or,
31,ܩܕܝܫܐ,ܩܰܕܺܝܫܳܐ,2756,87989.2,NounAdj,"ܩܰܕܺܝܫܳܐ holy, sacred; saint; ܪܽܘܚܳܐ ܩܰܕܺܝܫܳܐ Holy Spirit.",holy; saint,Christianity
32,ܗܝ,ܗܺܝ,13694,87029,Pronoun,ܗܺܝ she; ܗܺܝ ܟܰܕ ܗܺܝ the same.,she,
33,ܐܝܢܐ,ܐܝܰܢܳܐ,10971,85927.1,Pronoun,"ܐܰܝܢܳܐ, f. ܐܰܝܕܳܐ, pl. ܐܰܝܠܶܝܢ who?, which? what?; + -ܕ he who.","who?, which? what?",
34,ܐܬܐ,ܐܶܬܳܐ,316,82018.22,Verb,"ܐܶܬܳܐ fut. ܢܺܐܬܶܐ, imp. ܬܳܐ (f. ܬܳܝ) Ia to come, arrive; IIIa ܐܰܝܬܺܝ to bring, introduce; IIIp.","to come, arrive",Movement
35,ܕܝܠ,ܕܺܝܠ,5023,79888,Pronoun,"-ܕܺܝܠ‍ of, own; ܕܺܝܠܶܗ ܟܰܕ ܕܺܝܠܶܗ by the same.",one's own,
36,ܥܒܕ,ܥܒܰܕ,2221,79068.9,Verb,"ܥܒܰܕ fut. ܢܶܥܒܶܕ, Ia to do, make, perform, work; Ip; IIIa to prompt, to induce; to effect; IIIp.","to do, work",
37,ܐܝܕܐ,ܐܺܝܕܳܐ,74,77497.55,NounAdj,"ܐܺܝܕܳܐ (pl. ܐܺܝ̈ܕܶܐ, ܐܺܝܕܰܝ̈ܳܐ) f. hand; handle, etc; ܝܰܕ edge, side; ܒܝܰܕ through, by means of, with the help of; -ܒܝܰܕ ܕ because; ܡܶܢ ܝܰܕ on account of; ܥܰܠ ܝܰܕ beside; ܒܺܐܝܕܳܐ ܒܺܐܝܕܳܐ little by little; partly.",hand; handle,
38,ܗܢܘܢ,ܗܶܢܽܘܢ,14175,77425.5,Pronoun,ܗܶܢܽܘܢ they (m.); ܗܶܢܶܝܢ (f.).,"they, them (masc)",
39,ܥܠܡܐ,ܥܳܠܡܳܐ,2331,77322.05,NounAdj,ܥܳܠܡܳܐ age; eternity; world; ܠܥܳܠܰܡ forever.,eternity; world,
40,ܚܢܢ,ܚܢܰܢ,12493,76485,Pronoun,ܚܢܰܢ we. (can also be written ܚ̱ܢܰܢ or ܐܶܢܰܚܢܰܢ),we,
41,ܡܠܬܐ,ܡܶܠܬܐ,1793,73952.9,NounAdj,"ܡܶܠܬܳܐ (pl. ܡ̈ܶܠܐ) f. word, saying, sentence; matter, affair; Gram. verb; m. the Word (God).",word; God the word,Religion
42,ܒܝܬܐ,ܒܰܝܬܳܐ,389,73712.3,NounAdj,"ܒܰܝܬܳܐ (pl. ܒ̈ܳܬܶܐ) m. house; home, room; stanza, verse. ܒܶܝܬ + (name) family, dynasty, generation; church (+ saint’s name); territory. Many other phrases with ܒܶܝܬ e.g., ܒܶܝܬ ܐܺܝܩܳܪܳܐ latrine; ܒܶܝܬ ܐܰܣܝܪ̈ܶܐ prison; ܒܶܝܬ ܐܰܦܽܘܣܺܝܰܐ latrine; ܒܶܝܬ ܐܰܪ̈ܟܶܐ archive, library; ܒܶܝܬ ܒܽܘܫܳܠܳܐ kitchen; ܒܶܝܬ ܒܰܘܬܳܐ night lodging; ܒܶܝܬ ܒܳܟ̈ܶܐ lamentation; ܒܶܝܬ ܓܰܘܣܳܐ refuge; ܒܶܝܬ ܓܰܙܳܐ treasury, Lit. West Syriac book of liturgical tunes; ܒܶܝܬ ܕܰܘܩܳܐ watch tower; ܒܶܝܬ ܕܺܝܢܳܐ law court; ܒܶܝܬ ܕܡܳܟܳܐ Kth. hotel, hostel, guesthouse; ܒܶܝܬ ܘܳܠܺܝܬܳܐ toilet; ܒܶܝܬ ܘܰܥܕܳܐ meeting place; ܒܶܝܬ ܛܒܳܚܳܐ kitchen; ܒܶܝܬ ܝܰܠܕܳܐ the Nativity, Christmas, birthday, horoscope; ܒܶܝܬ ܝܰܠܕܽܘܬܳܐ birthday; ܒܶܝܬ ܟܢܽܘܫܬܳܐ synagogue; school; ܒܶܝܬ ܟܪ̈ܺܝܗܶܐ hospital; ܒܶܝܬ ܟܬܳܒ̈ܶܐ library; ܒܶܝܬ ܡܰܘܬܒ̈ܶܐ historical and some wisdom books of the Bible; ܒܶܝܬ ܡܰܝ̈ܳܐ latrine; ܒܶܝܬ ܡܺܝ̈ܬܶܐ place of the dead, the grave, Sheol; ܒܶܝܬ ܡܰܥܡܽܘܕܺܝܬܳܐ baptistery; ܒܶܝܬ ܡܰܥܪܦܳܐ Kth. bank (financial); ܒܶܝܬ ܡܰܪܕܽܘܬܳܐ place of teaching, school; ܒܶܝܬ ܡܰܫܪܝܳܐ resting place, lodging; ܒܶܝܬ ܡܶܫܬܽܘܬܳܐ banquet; ܒܶܝܬ ܣܳܗ̈ܕܶܐ martyrium, chapel; ܒܶܝܬ ܣܶܦܪܳܐ school; ܒܶܝܬ ܥܶܕܳܢ̈ܶܐ records office; ܒܶܝܬ ܥܰܝܢܳܐ forehead; ܒܶܝܬ ܥܳܠܡܳܐ sepulcher; ܒܶܝܬ ܨܰܘܒܳܐ rendezvous, meeting place; Kth. college, university; ܒܶܝܬ ܨܠܽܘܬܳܐ place of prayer (usually a summer altar in the church’s courtyard); ܒܶܝܬ ܩܒܽܘܪܳܐ cemetery; ܒܶܝܬ ܩܰܕܺܝ̈ܫܶܐ place of burial for bishops and saints; ܒܶܝܬ ܩܽܘܕܫܳܐ sanctuary; ܒܶܝܬ ܩܦܳܣܳܐ granary; ܒܶܝܬ ܪܰܚܝܳܐ mill; ܒܶܝܬ ܫܰܒܬܳܐ synagogue, refectory; ܒܶܝܬ ܬܚܽܘ̈ܡܶܐ border-lands.",house,Places
43,ܢܦܫܐ,ܢܰܦܫܳܐ,2005,71175,NounAdj,"ܢܰܦܫܳܐ (pl. ܢܰܦ̈ܫܳܬܳܐ) f. soul; vital principal, life; living person; funeral stele; ܢܰܦܫܶܗ etc. himself etc.; ܡܶܢ ܢܰܦܫܶܗ of his own accord.",soul; life,
44,ܡܕܡ,ܡܶܕܶܡ,1716,69848,NounAdj,"ܡܶܕܶܡ (pl. ܡܶܕ̈ܶܡܶܐ) thing, affair; something; a certain.",thing; a certain,
45,ܡܫܝܚܐ,ܡܫܺܝܚܳܐ,1871,69341,Proper noun,"ܡܫܺܝܚܳܐ Messiah, Christ; anointed.","Messiah, Christ",Christianity
46,ܬܘܒ,ܬܽܘܒ,3371,68728,Particle,"ܬܽܘܒ again, also.","again, also",
47,ܝܗܒ,ܝܰܗ̱ܒ,15819,66599.4,Verb,"ܝܰܗ̱ܒ fut. ܢܶܬܶܠ, Ia to give, to grant; to allow, permit; to yield; to put, place; to entrust, commit; Ip to be given, granted; to be permitted; to be given up, delivered.",to give; to allow,
48,ܐܒܐ,ܐܰܒܳܐ,9180,64739,NounAdj,"ܐܰܒ݂ܳܐ father; spiritual father; (pl. ܐܰܒ̈ܳܗܶܐ) parents, forefathers; (pl. ܐܰܒ̈ܳܗܳܬܳܐ) spiritual fathers.",father; spiritual father,Family
49,ܪܘܚܐ,ܪܽܘܚܳܐ,2973,63669.73375,NounAdj,"ܪܽܘܚܳܐ (pl. ܪ̈ܽܘܚܶܐ, ܪ̈ܽܘܚܳܬܳܐ) f. (usually m. in prose for Holy Spirit) spirit; wind; ܪܽܘܚܳܐ ܕܩܽܘܕܫܳܐ, ܪܽܘܚܳܐ ܩܰܕܺܝܫܳܐ Holy Spirit.",spirit; wind,Nature
50,ܝܘܡܐ,ܝܰܘܡܳܐ,1338,62040,NounAdj,"ܝܰܘܡܳܐ (pl. ܝܰܘ̈ܡܶܐ, ܝܰܘ̈ܡܳܬܳܐ) m. day, day time.","day, day time",Time
51,ܩܕܡ,ܩܕܳܡ,2745,60838,Prep,"ܩܕܳܡ before (of time, place).","before of time, place",Places
52,ܠܘ,ܠܰܘ,1633,59321,Particle,"ܠܰܘ no, not.","no, not",
53,ܩܡ,ܩܳܡ,2766,58947.25,Verb,"ܩܳܡ fut. ܢܩܽܘܡ, Ia to arise, stand; to last; to be extant; to stop; Ip to e constituted; IIa to establish; IIp; IIIa to raise up, establish.",to stand; to start; to stop ,
54,ܐܚܪܢܐ,ܐ̱ܚܪܺܢܳܐ,9299,58940.7,NounAdj,"ܐ̱ܚܪܺܢܳܐ, ܐ̱ܚܪܺܝܬܳܐ, ܐ̱ܚܪ̈ܳܢܶܐ, ܐ̱ܚܪ̈ܳܢܝܳܬܳܐ other, another; next; Kth. ܙܢܳܐ ܐ̱ܚܪܺܢܳܐ Lit. alternative (melody).",other; next; alternative (melody),
55,ܗܢܘܢ,ܗܳܢܽܘܢ,6152,58522.5,Pronoun,ܗܳܢܽܘܢ those (m.); ܗܳܢܶܝܢ (f.).,those (m.),
56,ܝܕܥ,ܝܺܕܰܥ,1304,58487.55,Verb,"ܝܺܕܰܥ fut. ܢܶܕܰܥ, Ia to know, perceive, understand; Ip to be known, understood; to become known, become famous, to flourish; to be known as; to be made known, to be meant; IIa to inform, indicate; IIIa ܐܰܘܕܰܥ to make known, to inform, announce;IIIp.","to know, understand",
57,ܐܝܟܢܐ,ܐܰܝܟܰܢܳܐ,84,58003,Particle,"ܐܰܝܟܰܢܳܐ how?, as; + -ܕ so that; ܕܰܐܝܟ ܐܰܝܟܰܢܳܐ for example.","how?, as",
58,ܗܟܢܐ,ܗܳܟܰܢܳܐ,793,56920,Particle,"ܗܳܟܰܢ, ܗܳܟܰܢܳܐ thus, in like manner; such.",thus; such,
59,ܐܪܥܐ,ܐܰܪܥܳܐ,302,54610,NounAdj,"ܐܰܪܥܳܐ (pl. ܐܰܪ̈ܥܳܬܳܐ) f. earth, land; Kth. ground, floor.",earth; kth. ground,
60,ܪܒܐ,ܪܰܒܳܐ,2907,54249.54,NounAdj,"ܪܰܒܳܐ great, large; grand; teacher; eldest; prefect; magnate; ܪܰܒ + chief-, arch-.","great, teacher",
61,ܡܠܟܐ,ܡܰܠܟܳܐ,1783,53269.5,NounAdj,"ܡܰܠܟܳܐ king, emperor, caliph, ruler.",king,
62,ܡܐ,ܡܳܐ,1696,52057.4,Pronoun,"ܡܳܐ what; how! -ܡܳܐ ܕ that which; when;-ܟܠ ܡܳܐ ܕ whatsoever, whensoever.",what; how! ,
63,ܙܒܢܐ,ܙܰܒܢܳܐ,839,51674.2,NounAdj,"ܙܰܒܢܳܐ time, season; ܒܰܙܒܰܢ sometimes; ܒܟܽܠܙܒܰܢ always; ܟܡܳܐ ܙܰܒܢܺܝ̈ܢ often.","time, season",Time
64,ܥܡܐ,ܥܰܡܳܐ,2337,50449.08,NounAdj,"ܥܰܡܳܐ (pl. ܥܰܡ̱̈ܡܶܐ) people, nation; populace; ܥܰܡ̱̈ܡܶܐ gentiles, pagans; paternal uncle.",gentiles; paternal uncle,
65,ܗܐ,ܗܳܐ,767,47816,Particle,"ܗܳܐ behold!, look!; already, since.","behold!; already, since",
66,ܛܳܒܐ,ܛܳܒܳܐ,1196,47327.2,NounAdj,"ܛܳܒܳܐ good, excellent; precious (of stone); cultivated (of plant).","good, excellent",
67,ܫܘܒܚܐ,ܫܽܘܒܚܳܐ,3138,47201.74,NounAdj,"ܫܽܘܒܚܳܐ praise, glory; splendor; opinion, tenet.",praise; splendor,
68,ܫܡܐ,ܫܡܳܐ,3233,46602,NounAdj,"ܫܡܳܐ (pl. ܫ̈ܡܳܗܶܐ, ܫ̈ܡܳܗܳܬܳܐ) m. name, title; pretext; reputation; Gram. noun, part of speech.",name; reputation,
69,ܒܬܪ,ܒܳܬܰܪ,325,45319.28,Prep,ܒܳܬܰܪ after; ܒܳܬܰܪ ܪܺܝܫܶܗ upside-down; ܒܳܬܰܪ ܒܳܬܰܪ one by one.,after,
70,ܦܓܪܐ,ܦܰܓܪܳܐ,2452,44699,NounAdj,ܦܰܓܪܳܐ body.,body,Bodies
71,ܚܝܠܐ,ܚܰܝܠܳܐ,1025,44246.68,NounAdj,"ܚܰܝܠܳܐ (pl. ܚܰܝ̈ܠܶܐ, ܚܰܝ̈ܠܰܘܳܬܳܐ) m. might, strength, power; miracle; army, host; sense, meaning; faculty, instinct; wealth; ܒܚܰܝܠܳܐ virtually.",power; miracle,
72,ܩܪܐ,ܩܪܳܐ,15516,42476.55,Verb,"ܩܪܳܐ 1 fut. ܢܶܩܪܶܐ, Ia to call, summon, invite, invoke; Kth. to read; Ip.",to call; to read,
73,ܩܠܐ,ܩܳܠܳܐ,2820,42058,NounAdj,"ܩܳܠܳܐ voice, sound; expression; hymn; tune; ܒܰܪܬ ܩܳܠܳܐ expression, quotation, Gram. word.",voice; hymn,Music
74,ܟܝܢܐ,ܟܝܳܢܳܐ,1492,42041.205,NounAdj,ܟܝܳܢܳܐ nature; natural disposition; substance; creature.,nature; substance; creature ,
75,ܒܝܫܐ,ܒܺܝܫܳܐ,330,41165.21,NounAdj,"ܒܺܝܫܳܐ bad, evil.","bad, evil",
76,ܡܢܐ,ܡܳܢ,1801,41135.36,Pronoun,"ܡܳܢ, ܡܳܢܳܐ what? ܠܡܳܢܳܐ, ܡܶܛܽܠ ܡܳܢܳܐ, ܥܰܠ ܡܳܢܳܐ why, wherefore?","what? why, wherefore?",
77,ܬܪܝܢ,ܬܪܶܝܢ,6111,39528,number,"ܬܪܶܝܢ, ܬܰܪ̈ܬܶܝܢ two.",two,Numbers
78,ܥܕܬܐ,ܥܺܕ̱ܬܳܐ,2255,39261.7,NounAdj,ܥܺܕܬܳܐ church.,church,Christianity
79,ܥܠ,ܥܰܠ,2316,39242.5,Verb,"ܥܰܠ fut. ܢܶܥܽܘܠ, Ia to enter, go in; IIp ܐܶܬܥܰܠܰܠ to be brought in, introduced; to make a pretext; to allege; to complain; IIIa ܐܰܥܶܠ to bring in, to introduce; to produce; IIIp.",to enter,Movement
80,ܪܝܫܐ,ܪܺܝܫܳܐ,3017,38722.93,NounAdj,"ܪܺܝܫܳܐ, ܪܺܫܳܐ head; top; heading; beginning; (many phrases with ܪܺܝܫ head-, chief-); Kth. -ܟܺܐܒܳܐ ܕ headache.", head; beginning,
81,ܫܪܐ,ܫܪܳܐ,3315,37908.2,Verb,"ܫܪܳܐ fut. ܢܶܫܪܶܐ, Ia to loosen, unfasten; to release, let go; to repudiate; to absolve; to violate, break (law etc.); to dissolve; to confute; to reside, to dwell, to camp; to disband; to come to an end; Ip to be loosed, opened; to be paralyzed; to be released, dismissed; to disband, to break up; to be absolved; to be violated (law etc.); to be dissolved; to weigh anchor; IIa to begin; to weaken; to abolish; IIp to be begun; to be paralyzed; to be destroyed; to dine; IIIa to call a halt; to make to reside; to instill.",to loosen; to absolve,
82,ܪܚܡܐ,ܪ̈ܰܚܡܶܐ,8481,37502.04,NounAdj,"ܪ̈ܰܚܡܶܐ mercy, compassion; intestines. ",mercy; intestines,
83,ܫܟܚ,ܫܟܰܚ,15360,36783,Verb,"ܫܟܚ* ܐܶܫܟܰܚ fut. ܢܶܫܟܰܚ, Ia to find, to discover; to be able; Ip to be present, to happen; to be discovered, detected.","to find, to discover; to be able",
84,ܒܥܐ,ܒܥܳܐ,425,35390.5,Verb,"ܒܥܳܐ fut. ܢܶܒܥܶܐ, Ia to seek, desire, beseech; Ip to be necessary, required.","to seek, beseech",
85,ܫܡܝܐ,ܫܡܰܝܳܐ,3238,35384.49,NounAdj,"ܫܡܰܝܳܐ f. (and pl.) heaven; ceiling, roof.",heaven; ceiling,
86,ܩܒܠ,ܩܒܰܠ,2730,34456,Verb,"ܩܒܰܠ fut. ܢܶܩܒܽܘܠ, Ia to accuse, complain of; to meet; to oppose; to appeal to; Ip to be accused; IIa to receive, accept; + ܛܰܝܒܽܘܬܳܐ to thank; IIp; IIIa to face; to meet.",to accuse; to meet,
87,ܣܓܝܐܐ,ܣܰܓܺܝܳܐܐ,2064,34072.44,NounAdj,"ܣܰܓܺܝܳܐܐ much, many","much, many",
88,ܡܘܬܐ,ܡܰܘܬܳܐ,1728,34059.25,NounAdj,ܡܰܘܬܳܐ death.,death,Death
89,ܫܡܥ,ܫܡܰܥ,3248,33275,Verb,"ܫܡܰܥ fut. ܢܶܫܡܰܥ, Ia to hear, listen, understand, obey; Ip to be heard; to be obedient; IIIa to cause to hear; to tell, announce.","to hear, obey",
90,ܠܡ,ܠܰܡ,1676,32746.8,Particle,ܠܰܡ namely (quotation marker).,namely (quotation marker),
91,ܢܦܩ,ܢܦܰܩ,2002,32574,Verb,"ܢܦܰܩ fut. ܢܶܦܽܘܩ, Ia to go out, depart, to issue; to turn out, come to pass; to be translated; to be expended; + ܒܪܽܘܚܳܐ to defend, excuse oneself; IIa to spend; to go through; to train, instruct; to expose; IIp to be trained, instructed, practiced; IIIa ܐܰܦܶܩ to bring out, produce; to remove; to repudiate; to spend; to send forth, to issue, to publish; to translate; to subtract; IIIp to be extracted, translated, pronounced.",to go out; to turn out,Movement
92,ܡܢ,ܡܰܢ,1798,32285.84,Particle,"ܡܰܢ indeed, on the one hand. ","indeed, on the one hand",Bodies
93,ܨܠܘܬܐ,ܨܠܽܘܬܳܐ,2694,31481,NounAdj,ܨܠܽܘܬܳܐ prayer.,prayer,Religion
94,ܠܝܬ,ܠܰܝܬ,3459,31291.9,Substansive,"ܠܰܝܬ, -ܠܰܝܬ there is not.",there is not,
95,ܥܕܡܐ,ܥܕܰܡܳܐ,2249,31194.8,Particle,"ܥܕܰܡܳܐ until, up to.","until, up to",
96,ܒܪܢܫܐ,ܒܰܪܢܳܫܳܐ,3463,30754,NounAdj,"ܒܰܪܢܳܫܳܐ (also ܒܰܪ ܐ̱ܢܳܫܳܐ) human being, person.","human being, person.",People
97,ܣܡ,ܣܳܡ,2114,30404.24,Verb,"ܣܳܡ fut. ܢܣܺܝܡ, Ia to set, put, place; to appoint; to constitute; ܣܳܡ ܒܪܶܥܝܳܢܳܐ to resolve; ܣܳܡ ܒܪܺܝܫܳܐ to punish; Ip; IIa ܣܰܝܶܡ to point (a text); IIp.",to set; to appoint,
98,ܐܙܠ,ܐܶܙܰܠ,65,29721,Verb,"ܐܶܙܰܠ fut. ܢܺܐܙܰܠ, imp. ܙܶܠ, Ia to go; ܐܳܙܶܠ fit for, good for.",to go; to fit for,
99,ܨܒܐ,ܨܒܳܐ,2652,29681,Verb,"ܨܒܳܐ fut. ܢܶܨܒܶܐ, Ia to be willing, wish, want; + ܒ‍ to be pleased with; Ip to consent; + ܒ‍ to take pleasure in; IIIa to will.",to be willing; to be pleased with,
100,ܩܪܒ,ܩܪܶܒ,2876,29615,Verb,"ܩܪܶܒ fut. ܢܶܩܪܽܘܒ, Ia to come near, approach; + ܒ‍ to touch; + ܥܰܡ to contend with; IIa to bring near; to offer; IIp to approach; to be presented, offered; IIIa to join battle, fight; IIIp.","to come near, approach",Movement
101,ܚܘܐ,ܚܰܘܳܐ,15171,29553.77,Verb,"ܚܰܘܺܝ IIa to show, manifest, demonstrate, make manifest; to issue (coinage); IIp.","to show, demonstrate",
102,ܗܟܝܠ,ܗܳܟܶܝܠ,14389,29348,Particle,"ܗܳܟܶܝܠ therefore, so.",therefore,
103,ܓܒܪܐ,ܓܰܒܪܳܐ,504,29286.5,NounAdj,"ܓܰܒܪܳܐ man, male, husband.","Man, husband",Family
104,ܐܬܪܐ,ܐܰܬܪܳܐ,13388,29267.5,NounAdj,"ܐܰܬܪܳܐ, ܐܰܬܪ̈ܰܘܳܬܳܐ place, location, region, district; Kth. homeland; topic; opportunity;-ܐܰܬܰܪ ܕ where.",place; Homeland; opportunity,
105,ܚܠܦ,ܚܠܳܦ,1053,29202.7,Prep,"ܚܠܳܦ instead of, because of, in place of, on account of.","instead of, because of",
106,ܛܝܒܘܬܐ,ܛܰܝܒܽܘܬܳܐ,1203,29069.5,NounAdj,"ܛܰܝܒܽܘܬܳܐ grace, kindness, favor; ܩܰܒܶܠ ܛܰܝܒܽܘܬܳܐ to be grateful, thankful; ܩܽܘܒܳܠ ܛܰܝܒܽܘܬܳܐ gratitude, thankfulness.","grace, kindness",
107,ܚܝܐ,ܚܰܝ̈ܶܐ,5597,28923.32,NounAdj,ܚܰܝ̈ܶܐ life; salvation.,life; salvation,
108,ܩܕܡܝܐ,ܩܰܕܡܳܝܳܐ,2747,28418.88,NounAdj,ܩܰܕܡܳܝܳܐ first; early; former; ancient.,first; former,
109,ܢܘܗܪܐ,ܢܽܘܗܪܳܐ,1918,27820.85,NounAdj,ܢܽܘܗܪܳܐ light.,light,Light
110,ܬܠܬ,ܬܠܳܬܳܐ,3398,27375,number,ܬܠܳܬܳܐ three.,three,Numbers
